Date,Product,Quantity,Rate,Value,Source,DateObj
01-Apr-2022,Pepper Powder-100g,2.0,0.0,520.0,2022 April.xlsx,2022-04-01
01-Apr-2022,Mix Chilli Powder - 1Kg,2.0,0.0,3470.0,2022 April.xlsx,2022-04-01
01-Apr-2022,MixChilli Powder - 100g,13.0,0.0,2110.0,2022 April.xlsx,2022-04-01
01-Apr-2022,Turmeric Powder - 50g,32.0,0.0,6430.0,2022 April.xlsx,2022-04-01
01-Apr-2022,Kurakkan Flour - 250g,8.0,0.0,1520.0,2022 April.xlsx,2022-04-01
01-Apr-2022,Pepper Powder - 50g,21.0,0.0,2430.0,2022 April.xlsx,2022-04-01
01-Apr-2022,Fenugreek Seeds 50g,56.0,0.0,2210.0,2022 April.xlsx,2022-04-01
01-Apr-2022,Roasted White Rice Flour - 500g,1.0,0.0,100.0,2022 April.xlsx,2022-04-01
01-Apr-2022,Roasted Red Rice Flour - 500g,3.0,0.0,300.0,2022 April.xlsx,2022-04-01
01-Apr-2022,Chilli Powder - 500g,2.0,0.0,1800.0,2022 April.xlsx,2022-04-01
01-Apr-2022,Cut Chilli Powder - 50g,6.0,0.0,495.0,2022 April.xlsx,2022-04-01
01-Apr-2022,Chilli Powder - 250g,1.0,0.0,470.0,2022 April.xlsx,2022-04-01
01-Apr-2022,Cut Chilli Powder - 250g,6.0,0.0,2070.0,2022 April.xlsx,2022-04-01
01-Apr-2022,Cardamom Packet,1.0,0.0,25.0,2022 April.xlsx,2022-04-01
01-Apr-2022,Cut Chilli Powder-100g,1.0,0.0,190.0,2022 April.xlsx,2022-04-01
01-Apr-2022,Atta Flour - 500g,12.0,0.0,1320.0,2022 April.xlsx,2022-04-01
01-Apr-2022,Curry Powder - 50g,112.0,0.0,6750.0,2022 April.xlsx,2022-04-01
01-Apr-2022,Curry Powder - 500g,1.0,0.0,700.0,2022 April.xlsx,2022-04-01
01-Apr-2022,Roasted Curry Powder - 500g,1.0,0.0,600.0,2022 April.xlsx,2022-04-01
01-Apr-2022,Atta Flour - 1Kg,4.0,0.0,880.0,2022 April.xlsx,2022-04-01
01-Apr-2022,Mix Chilli Powder - 250g,54.0,0.0,22516.0,2022 April.xlsx,2022-04-01
01-Apr-2022,Mix Chilli Powder - 500g,41.0,0.0,34395.0,2022 April.xlsx,2022-04-01
01-Apr-2022,Curry Powder - 250g,2.0,0.0,740.0,2022 April.xlsx,2022-04-01
01-Apr-2022,Cumin Seeds 100g,1.0,0.0,120.0,2022 April.xlsx,2022-04-01
01-Apr-2022,Curry Powder-100g,10.0,0.0,1180.0,2022 April.xlsx,2022-04-01
01-Apr-2022,Mix Chilli Powder - 50g,10.0,0.0,800.0,2022 April.xlsx,2022-04-01
01-Apr-2022,Mustard Seeds 50g,6.0,0.0,210.0,2022 April.xlsx,2022-04-01
02-Apr-2022,Roasted Red Rice Flour - 500g,2.0,0.0,230.0,2022 April.xlsx,2022-04-02
02-Apr-2022,Cut Chilli Powder - 500g,1.0,0.0,840.0,2022 April.xlsx,2022-04-02
02-Apr-2022,Curry Powder - 250g,2.0,0.0,690.0,2022 April.xlsx,2022-04-02
02-Apr-2022,Mix Chilli Powder - 50g,16.0,0.0,1280.0,2022 April.xlsx,2022-04-02
02-Apr-2022,Cut Chilli Powder - 250g,3.0,0.0,1230.0,2022 April.xlsx,2022-04-02
02-Apr-2022,Turmeric Powder - 50g,6.0,0.0,1420.0,2022 April.xlsx,2022-04-02
02-Apr-2022,Cumin Powder - 100g,1.0,0.0,220.0,2022 April.xlsx,2022-04-02
02-Apr-2022,MixChilli Powder - 100g,10.0,0.0,1600.0,2022 April.xlsx,2022-04-02
02-Apr-2022,Cut Chilli Powder - 50g,6.0,0.0,420.0,2022 April.xlsx,2022-04-02
02-Apr-2022,Pepper Powder-100g,1.0,0.0,240.0,2022 April.xlsx,2022-04-02
02-Apr-2022,Chilli Powder - 250g,1.0,0.0,375.0,2022 April.xlsx,2022-04-02
02-Apr-2022,Curry Powder - 50g,12.0,0.0,735.0,2022 April.xlsx,2022-04-02
02-Apr-2022,Mix Chilli Powder - 1Kg,3.0,0.0,5560.0,2022 April.xlsx,2022-04-02
02-Apr-2022,Curry Powder - 500g,1.0,0.0,740.0,2022 April.xlsx,2022-04-02
02-Apr-2022,Curry Powder-100g,3.0,0.0,360.0,2022 April.xlsx,2022-04-02
02-Apr-2022,Pepper Powder - 250g,1.0,0.0,575.0,2022 April.xlsx,2022-04-02
02-Apr-2022,Roasted Cury Powder - 50g,6.0,0.0,300.0,2022 April.xlsx,2022-04-02
02-Apr-2022,Coriander Powder-50g,10.0,0.0,350.0,2022 April.xlsx,2022-04-02
02-Apr-2022,Chilli Powder - 500g,1.0,0.0,940.0,2022 April.xlsx,2022-04-02
02-Apr-2022,Mix Chilli Powder - 500g,1.0,0.0,940.0,2022 April.xlsx,2022-04-02
02-Apr-2022,Roasted Curry Powder - 100g,2.0,0.0,240.0,2022 April.xlsx,2022-04-02
04-Apr-2022,Cumin Seeds 50g,41.0,0.0,3910.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Mustard Seeds 100g,2.0,0.0,200.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Chilli Powder - 500g,30.0,0.0,23850.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Chilli Powder - 250g,123.0,0.0,49275.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Cut Chilli Powder - 50g,16.0,0.0,1280.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Coriander Seeds 250g,1.0,0.0,175.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Cut Chilli Powder - 250g,2.0,0.0,745.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Chilli Powder - 100g,143.0,0.0,22530.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Pepper Powder-100g,21.0,0.0,4860.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Curry Powder - 50g,50.0,0.0,3000.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Mustard Seeds 50g,1.0,0.0,55.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Atta Flour - 1Kg,2.0,0.0,520.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Curry Powder - 250g,43.0,0.0,12815.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Cut Chilli Powder - 500g,1.0,0.0,940.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Cut Chilli Powder-100g,14.0,0.0,2360.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Fenugreek Seeds 50g,1.0,0.0,55.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Fennal Seeds 100g,12.0,0.0,2240.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Coriander Seeds 100g,5.0,0.0,300.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Cumin Powder - 100g,1.0,0.0,260.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Mix Chilli Powder - 250g,207.0,0.0,83030.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Mix Chilli Powder - 500g,67.0,0.0,53845.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Coriander Powder-100g,1.0,0.0,90.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Turmeric Powder - 50g,113.0,0.0,22135.0,2022 April.xlsx,2022-04-04
04-Apr-2022,MixChilli Powder - 100g,70.0,0.0,11200.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Kurakkan Flour - 500g,1.0,0.0,430.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Roasted Red Rice Flour - 500g,11.0,0.0,1145.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Cumin Powder - 50g,11.0,0.0,610.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Pepper Powder - 50g,62.0,0.0,7160.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Curry Powder-100g,72.0,0.0,8640.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Cinnamon,0.01,0.0,50.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Chilli Powder - 50g,100.0,0.0,8000.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Fennal Seeds 50g,1.0,0.0,110.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Fenugreek Seeds 100g,31.0,0.0,2810.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Cumin Seeds 100g,33.0,0.0,6160.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Roasted White Rice Flour - 500g,1.0,0.0,145.0,2022 April.xlsx,2022-04-04
04-Apr-2022,Mix Chilli Powder - 50g,70.0,0.0,5600.0,2022 April.xlsx,2022-04-04
05-Apr-2022,Mustard Seeds 50g,1.0,0.0,45.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Fennal Seeds 50g,1.0,0.0,110.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Mix Chilli Powder - 250g,113.0,0.0,44920.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Curry Powder - 250g,52.0,0.0,15310.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Fenugreek Seeds 100g,60.0,0.0,5700.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Fennal Powder 100g,1.0,0.0,180.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Curry Powder - 500g,17.0,0.0,10910.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Roasted Curry Powder - 250g,1.0,0.0,300.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Mix Chilli Powder - 1Kg,18.0,0.0,29360.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Mix Chilli Powder - 500g,62.0,0.0,49140.0,2022 April.xlsx,2022-04-05
05-Apr-2022,MixChilli Powder - 100g,71.0,0.0,11368.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Mustard Seeds 100g,31.0,0.0,2970.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Curry Powder - 50g,111.0,0.0,6515.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Roasted Curry Powder - 1Kg,1.0,0.0,1200.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Cut Chilli Powder - 50g,10.0,0.0,800.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Cut Chilli Powder-100g,82.0,0.0,13138.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Pepper Powder-100g,35.0,0.0,8200.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Cut Chilli Powder - 500g,9.0,0.0,8460.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Fenugreek Seeds 50g,1.0,0.0,45.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Cut Chilli Powder - 250g,40.0,0.0,16040.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Pepper Powder - 50g,51.0,0.0,5880.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Gram Flour - 500g,4.0,0.0,840.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Roasted Curry Powder - 100g,2.0,0.0,240.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Pepper Powder - 500g,2.0,0.0,2450.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Mix Chilli Powder - 50g,50.0,0.0,3900.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Curry Powder-100g,122.0,0.0,14480.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Chilli Powder - 100g,40.0,0.0,6280.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Roasted White Rice Flour - 500g,1.0,0.0,100.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Roasted Red Rice Flour - 500g,4.0,0.0,460.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Cumin Powder - 100g,2.0,0.0,410.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Coriander Seeds 100g,1.0,0.0,60.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Chilli Powder - 50g,70.0,0.0,5480.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Cumin Seeds 100g,1.0,0.0,120.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Chilli Powder - 500g,26.0,0.0,22210.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Cinnamon,0.1,0.0,500.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Atta Flour - 500g,1.0,0.0,130.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Chilli Powder,50.0,0.0,80000.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Chilli Powder - 250g,50.0,0.0,19960.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Roasted Cury Powder - 50g,1.0,0.0,60.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Cumin Seeds 50g,31.0,0.0,2960.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Coriander Powder-250g,1.0,0.0,225.0,2022 April.xlsx,2022-04-05
05-Apr-2022,Turmeric Powder - 50g,53.0,0.0,10835.0,2022 April.xlsx,2022-04-05
06-Apr-2022,Cut Chilli Powder - 500g,72.0,0.0,57330.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Chilli Powder - 250g,443.0,0.0,177145.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Roasted Curry Powder - 100g,13.0,0.0,1360.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Cut Chilli Powder - 50g,97.0,0.0,7765.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Cumin Powder - 50g,60.0,0.0,6300.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Cumin Seeds 50g,1.0,0.0,60.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Cut Chilli Powder - 250g,290.0,0.0,109345.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Fennal Seeds 100g,1.0,0.0,120.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Mix Chilli Powder - 50g,172.0,0.0,13760.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Fenugreek Seeds 50g,1.0,0.0,45.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Fennal Seeds 50g,1.0,0.0,60.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Chilli Powder - 100g,300.0,0.0,45800.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Cumin Powder - 100g,1.0,0.0,220.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Chilli Powder - 50g,90.0,0.0,7200.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Pepper Powder - 50g,120.0,0.0,13800.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Coriander Powder-50g,25.0,0.0,885.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Pepper Powder - 20g,20.0,0.0,940.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Cinnamon,0.07,0.0,350.0,2022 April.xlsx,2022-04-06
06-Apr-2022,MixChilli Powder - 100g,166.0,0.0,26560.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Turmeric Powder - 50g,78.0,0.0,15515.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Mix Chilli Powder - 250g,220.0,0.0,88090.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Coriander Powder-250g,40.0,0.0,7000.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Mix Chilli Powder - 1Kg,1.0,0.0,1680.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Pepper Powder - 250g,63.0,0.0,36300.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Chilli Powder - 500g,121.0,0.0,96465.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Mix Chilli Powder - 500g,161.0,0.0,128430.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Coriander Powder-100g,60.0,0.0,4200.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Curry Powder - 50g,126.0,0.0,7560.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Atta Flour - 1Kg,10.0,0.0,2200.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Roasted Curry Powder - 250g,1.0,0.0,300.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Atta Flour - 500g,20.0,0.0,2200.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Mustard Seeds 50g,1.0,0.0,45.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Cut Chilli Powder-100g,162.0,0.0,25958.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Curry Powder - 500g,73.0,0.0,43070.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Pepper Powder-100g,43.0,0.0,9980.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Curry Powder - 250g,292.0,0.0,86120.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Curry Powder-100g,251.0,0.0,27520.0,2022 April.xlsx,2022-04-06
06-Apr-2022,White Pepper Powder - 50g,1.0,0.0,180.0,2022 April.xlsx,2022-04-06
06-Apr-2022,Roasted Cury Powder - 50g,24.0,0.0,1210.0,2022 April.xlsx,2022-04-06
07-Apr-2022,Mix Chilli Powder - 500g,37.0,0.0,29560.0,2022 April.xlsx,2022-04-07
07-Apr-2022,Fenugreek Seeds 50g,1.0,0.0,60.0,2022 April.xlsx,2022-04-07
07-Apr-2022,Atta Flour - 1Kg,10.0,0.0,2200.0,2022 April.xlsx,2022-04-07
07-Apr-2022,Chilli Powder - 500g,22.0,0.0,17780.0,2022 April.xlsx,2022-04-07
07-Apr-2022,Fennal Seeds 50g,1.0,0.0,60.0,2022 April.xlsx,2022-04-07
07-Apr-2022,Curry Powder - 500g,1.0,0.0,590.0,2022 April.xlsx,2022-04-07
07-Apr-2022,Chilli Powder - 100g,10.0,0.0,1600.0,2022 April.xlsx,2022-04-07
07-Apr-2022,Mustard Seeds 50g,1.0,0.0,60.0,2022 April.xlsx,2022-04-07
07-Apr-2022,Mix Chilli Powder - 250g,129.0,0.0,51620.0,2022 April.xlsx,2022-04-07
07-Apr-2022,Curry Powder - 250g,33.0,0.0,9735.0,2022 April.xlsx,2022-04-07
07-Apr-2022,MixChilli Powder - 100g,80.0,0.0,12800.0,2022 April.xlsx,2022-04-07
07-Apr-2022,Turmeric Powder - 50g,21.0,0.0,4145.0,2022 April.xlsx,2022-04-07
07-Apr-2022,Curry Powder-100g,32.0,0.0,3840.0,2022 April.xlsx,2022-04-07
07-Apr-2022,Mix Chilli Powder - 1Kg,3.0,0.0,5640.0,2022 April.xlsx,2022-04-07
07-Apr-2022,Chilli Powder - 50g,30.0,0.0,2300.0,2022 April.xlsx,2022-04-07
07-Apr-2022,Roasted Cury Powder - 50g,20.0,0.0,1000.0,2022 April.xlsx,2022-04-07
07-Apr-2022,Pepper Powder - 50g,20.0,0.0,2300.0,2022 April.xlsx,2022-04-07
07-Apr-2022,Chilli Powder - 250g,40.0,0.0,16000.0,2022 April.xlsx,2022-04-07
07-Apr-2022,Chilli Powder,5.0,0.0,7950.0,2022 April.xlsx,2022-04-07
07-Apr-2022,Pepper Powder-100g,1.0,0.0,260.0,2022 April.xlsx,2022-04-07
07-Apr-2022,Curry Powder - 50g,80.0,0.0,4670.0,2022 April.xlsx,2022-04-07
07-Apr-2022,Cumin Seeds 50g,1.0,0.0,60.0,2022 April.xlsx,2022-04-07
07-Apr-2022,Roasted Curry Powder - 100g,22.0,0.0,2240.0,2022 April.xlsx,2022-04-07
07-Apr-2022,Cut Chilli Powder - 50g,40.0,0.0,3200.0,2022 April.xlsx,2022-04-07
07-Apr-2022,Cut Chilli Powder - 250g,20.0,0.0,8000.0,2022 April.xlsx,2022-04-07
07-Apr-2022,Mix Chilli Powder - 50g,96.0,0.0,7680.0,2022 April.xlsx,2022-04-07
07-Apr-2022,Cut Chilli Powder-100g,30.0,0.0,4800.0,2022 April.xlsx,2022-04-07
08-Apr-2022,Pepper Powder - 500g,2.0,0.0,2500.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Mix Chilli Powder - 50g,147.0,0.0,11585.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Kurakkan Flour - 500g,10.0,0.0,3800.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Pepper Powder - 20g,10.0,0.0,470.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Cinnamon,0.03,0.0,147.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Chilli Powder - 100g,41.0,0.0,6470.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Cut Chilli Powder - 250g,26.0,0.0,10540.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Cut Chilli Powder-100g,88.0,0.0,14020.0,2022 April.xlsx,2022-04-08
08-Apr-2022,MixChilli Powder - 100g,113.0,0.0,17886.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Pepper Powder-100g,30.0,0.0,6900.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Turmeric Powder - 50g,38.0,0.0,8245.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Roasted Curry Powder - 100g,37.0,0.0,3590.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Roasted Curry Powder - 500g,1.0,0.0,600.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Mustard Seeds 100g,11.0,0.0,990.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Mix Chilli Powder - 1Kg,10.0,0.0,18800.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Mustard Seeds 50g,2.0,0.0,95.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Curry Powder - 250g,150.0,0.0,42715.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Mix Chilli Powder - 250g,218.0,0.0,85540.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Cumin Powder - 250g,1.0,0.0,550.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Roasted Cury Powder - 50g,19.0,0.0,1010.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Atta Flour - 1Kg,27.0,0.0,5190.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Cut Chilli Powder - 50g,71.0,0.0,5515.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Chilli Powder - 500g,24.0,0.0,19690.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Fenugreek Seeds 100g,11.0,0.0,990.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Mix Chilli Powder - 500g,33.0,0.0,27385.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Curry Powder - 50g,123.0,0.0,7325.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Pepper Powder - 50g,16.0,0.0,1930.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Cumin Seeds 50g,1.0,0.0,110.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Curry Powder-100g,59.0,0.0,7030.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Curry Powder - 500g,2.0,0.0,1430.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Fenugreek Seeds 50g,1.0,0.0,35.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Gram Flour - 250g,1.0,0.0,130.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Roasted Curry Powder - 250g,1.0,0.0,300.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Cut Chilli Powder - 500g,11.0,0.0,8520.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Gram Flour - 500g,10.0,0.0,2100.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Chilli Powder - 250g,173.0,0.0,67400.0,2022 April.xlsx,2022-04-08
08-Apr-2022,Chilli Powder - 50g,110.0,0.0,8560.0,2022 April.xlsx,2022-04-08
09-Apr-2022,Mix Chilli Powder - 250g,105.0,0.0,41725.0,2022 April.xlsx,2022-04-09
09-Apr-2022,Pepper Powder-100g,1.0,0.0,260.0,2022 April.xlsx,2022-04-09
09-Apr-2022,Coriander Powder-100g,30.0,0.0,2100.0,2022 April.xlsx,2022-04-09
09-Apr-2022,Mix Chilli Powder - 50g,72.0,0.0,5640.0,2022 April.xlsx,2022-04-09
09-Apr-2022,Mix Chilli Powder - 500g,78.0,0.0,62300.0,2022 April.xlsx,2022-04-09
09-Apr-2022,Mustard Seeds 100g,2.0,0.0,240.0,2022 April.xlsx,2022-04-09
09-Apr-2022,Cumin Seeds 50g,2.0,0.0,220.0,2022 April.xlsx,2022-04-09
09-Apr-2022,Curry Powder-100g,15.0,0.0,1890.0,2022 April.xlsx,2022-04-09
09-Apr-2022,Mix Chilli Powder - 1Kg,5.0,0.0,7950.0,2022 April.xlsx,2022-04-09
09-Apr-2022,Curry Powder - 250g,2.0,0.0,590.0,2022 April.xlsx,2022-04-09
09-Apr-2022,Curry Powder - 500g,20.0,0.0,11800.0,2022 April.xlsx,2022-04-09
09-Apr-2022,Atta Flour - 500g,4.0,0.0,520.0,2022 April.xlsx,2022-04-09
09-Apr-2022,Curry Powder - 50g,12.0,0.0,720.0,2022 April.xlsx,2022-04-09
09-Apr-2022,Cardamom and Clove Packet,2.0,0.0,50.0,2022 April.xlsx,2022-04-09
09-Apr-2022,Cut Chilli Powder-100g,1.0,0.0,168.0,2022 April.xlsx,2022-04-09
09-Apr-2022,Roasted Green Gram Flour - 1Kg,1.0,0.0,1280.0,2022 April.xlsx,2022-04-09
09-Apr-2022,Cut Chilli Powder - 250g,41.0,0.0,16420.0,2022 April.xlsx,2022-04-09
09-Apr-2022,Chilli Powder - 100g,4.0,0.0,738.0,2022 April.xlsx,2022-04-09
09-Apr-2022,Roasted Green Gram Flour - 500g,10.0,0.0,5600.0,2022 April.xlsx,2022-04-09
09-Apr-2022,Chilli Powder - 250g,20.0,0.0,8000.0,2022 April.xlsx,2022-04-09
09-Apr-2022,Fenugreek Seeds 100g,2.0,0.0,240.0,2022 April.xlsx,2022-04-09
09-Apr-2022,Pepper Powder - 50g,1.0,0.0,130.0,2022 April.xlsx,2022-04-09
09-Apr-2022,Cut Chilli Powder - 500g,1.0,0.0,840.0,2022 April.xlsx,2022-04-09
09-Apr-2022,Chilli Powder - 500g,30.0,0.0,23850.0,2022 April.xlsx,2022-04-09
09-Apr-2022,Gram Flour - 500g,1.0,0.0,260.0,2022 April.xlsx,2022-04-09
09-Apr-2022,Turmeric Powder - 50g,26.0,0.0,5070.0,2022 April.xlsx,2022-04-09
09-Apr-2022,MixChilli Powder - 100g,62.0,0.0,9656.0,2022 April.xlsx,2022-04-09
09-Apr-2022,Chilli Powder - 50g,20.0,0.0,1600.0,2022 April.xlsx,2022-04-09
09-Apr-2022,Kurakkan Flour - 500g,1.0,0.0,430.0,2022 April.xlsx,2022-04-09
10-Apr-2022,Mustard Seeds 50g,3.0,0.0,180.0,2022 April.xlsx,2022-04-10
10-Apr-2022,Atta Flour - 500g,1.0,0.0,130.0,2022 April.xlsx,2022-04-10
10-Apr-2022,Cinnamon,0.07,0.0,323.0,2022 April.xlsx,2022-04-10
10-Apr-2022,Chilli Powder - 500g,14.0,0.0,12670.0,2022 April.xlsx,2022-04-10
10-Apr-2022,Cumin Seeds 50g,2.0,0.0,220.0,2022 April.xlsx,2022-04-10
10-Apr-2022,Curd Chilli -100g,1.0,0.0,80.0,2022 April.xlsx,2022-04-10
